Mouse ID,Embedding
Day 6_A8-5-R.png,"[-0.99916935,  0.13539758,  0.6120914 , -0.97533596,  1.0005324 ,
  0.30817935,  0.23329055,  0.43150494, -0.27622706, -0.83472854,
  0.65363544, -0.2111364 ,  0.00856606, -0.09981436,  0.2961835 ,
  0.3792847 ]"
Day 12_Y8-1-R.png,"[ 1.3341637 ,  3.3450797 , -3.8901596 ,  4.7076797 ,  1.4087088 ,
  0.10306381, -1.8831754 , -1.818111  , -2.7732587 , -0.25376886,
  1.7939814 ,  2.3322394 , -3.7966566 ,  0.2322323 , -3.9604547 ,
 -1.2652338 ]"
Day 8_A8-3-L.png,"[-1.6072624 ,  1.4959601 ,  0.4611879 ,  0.03032878,  1.6480483 ,
  0.22960797, -0.1169773 ,  0.9573668 , -1.7254503 , -1.8193747 ,
  1.6533277 , -0.12249869, -0.4289429 , -0.09213123, -0.57916677,
  0.9759732 ]"
Day 10_Y8-2-R.png,"[ 0.86120546,  1.5182366 , -1.7699106 ,  2.183474  ,  0.92372805,
  0.07531464, -0.9074936 , -1.021535  , -1.3600553 , -0.12127836,
  0.69742996,  1.1938559 , -1.8756542 , -0.02444994, -1.9336505 ,
 -0.53946924]"
Day 4_A8-4-R.png,"[-2.819497  , -1.1352016 ,  2.8751974 , -3.4735925 ,  0.4276105 ,
  0.25712302,  0.91967297,  1.9597903 , -0.09441807, -1.9209415 ,
  0.7193241 , -1.4530101 ,  2.274638  ,  0.07968704,  2.6172044 ,
  1.2849262 ]"
Day 0_Y8-1-L.png,"[-0.31517428, -2.3327565 ,  1.8130236 , -2.6296515 , -1.3069031 ,
 -0.0075363 ,  1.0956866 ,  0.54818684,  2.340878  ,  0.80779195,
 -1.5716497 , -1.3692524 ,  2.1012418 , -0.22770093,  2.3762112 ,
  0.20121615]"
Day 3_Y8-3-R.png,"[-0.2872502 , -1.2533689 ,  0.88830036, -2.023264  ,  0.17808391,
  0.2978333 ,  0.63916385,  0.22180004,  0.76599866, -0.09366988,
 -0.3912698 , -0.48395246,  0.7248621 , -0.12594783,  1.1149958 ,
  0.21924397]"
Day 8_Y8-3-L.png,"[-0.6775536 ,  2.4928534 , -0.99391764,  1.717492  ,  1.9914634 ,
  0.19988465, -0.77779186,  0.03055149, -2.527883  , -1.5728294 ,
  1.9479972 ,  0.84541297, -1.7775548 , -0.03967932, -2.0162616 ,
  0.4532182 ]"
Day 12_A8-3-R.png,"[-0.8997154 ,  2.7329133 , -0.8887894 ,  1.9203112 ,  2.2973094 ,
  0.21905792, -0.6716396 ,  0.07017715, -2.5116906 , -1.673296  ,
  2.052594  ,  0.6982713 , -1.9126585 , -0.15249714, -2.1370966 ,
  0.67272216]"
Day 2_Y8-3-L.png,"[-0.34257218, -1.9000893 ,  1.4259048 , -2.4659703 , -0.52371764,
  0.18772656,  0.81188095,  0.41820866,  1.4013809 ,  0.17134404,
 -0.8710708 , -0.8943096 ,  1.4100446 , -0.14662449,  1.8505402 ,
  0.31986287]"
