Mouse ID,Embedding
Day 13_A8-5-L.png,"[ 1.3213341   2.946505   -3.1673193   3.8962505   1.4221245   0.17781274
 -1.6383281  -1.6714677  -2.3120334  -0.30793765  1.6386808   2.0697696
 -3.3977509   0.17536148 -3.2908256  -1.2888918 ]"
Day 7_Y8-3-L.png,"[-1.2576624   2.4301279  -0.5235388   1.1756148   2.0367746   0.25581518
 -0.58612835  0.5712619  -2.5093553  -1.9926718   2.2387311   0.5447953
 -1.4109591  -0.00279484 -1.6903282   0.6625895 ]"
Day 0_A8-5-L.png,"[ 2.4573114  -4.7830367   1.5694014  -1.9437475  -5.199453   -0.9655947
  1.674404   -0.65228564  6.0164795   5.0366106  -5.3549027  -2.0528517
  3.8705733  -0.50435996  3.4129372  -1.2362648 ]"
Day 14_Y8-3-L.png,"[ 0.9494953   2.941641   -2.8397417   3.8160949   1.3947487   0.03473997
 -1.4592015  -1.323285   -2.215251   -0.42200553  1.52591     1.8458546
 -3.068912    0.20346016 -3.0827744  -0.823332  ]"
Day 8_Y8-2-L.png,"[-1.1213278   1.0939443   0.24474083 -0.01213108  1.2509674   0.20930424
 -0.19384274  0.76034003 -1.4305714  -1.4172258   1.3318635   0.03711221
 -0.3679423   0.05116517 -0.40233552  0.6237627 ]"
Day 10_A8-3-R.png,"[-0.7181586   2.6065185  -1.1449983   1.8583921   2.0029078   0.19036773
 -0.8160831   0.13964747 -2.6078281  -1.5984014   2.040203    0.8900665
 -1.8795843  -0.0319215  -2.1597886   0.45329532]"
Day 3_A8-3-R.png,"[-0.5165073  -2.0922892   1.5030216  -3.152923   -0.02715622  0.37883478
  0.97706586  0.48993358  1.2807423  -0.3124046  -0.69236547 -0.8231717
  1.2990865  -0.13014063  2.0965128   0.5954745 ]"
Day 5_A8-5-R.png,"[-1.4177929   0.04326908  0.63876474 -2.1525712   2.5606644   0.8303042
  0.13134104  0.60308236 -1.6259544  -2.4782395   1.8316431   0.37531593
 -0.57599556  0.07546237  0.21021256  0.82015693]"
Day 11_Y8-3-R.png,"[ 1.4383876   2.5464692  -3.0805607   3.8114023   0.9755896  -0.01168277
 -1.506797   -1.6600778  -1.9468008  -0.00882717  1.1998183   2.097942
 -2.9859207   0.29675004 -3.0497825  -1.081826  ]"
Day 2_Y8-3-R.png,"[ 1.4070195  -4.4326916   1.2835424  -3.8303106  -2.0646381   0.11405197
  1.3168225   0.1065798   3.0377645   1.8008513  -2.7922485  -0.9434612
  2.4171839  -0.06034352  3.1027951  -0.27756912]"
Day 4_Y8-1-L.png,"[-1.9869487  -0.38660172  1.6808419  -2.0141928   0.7750914   0.2770468
  0.37568074  1.2331339  -0.4877517  -1.6965755   0.9778166  -0.75475574
  1.0309174   0.10662033  1.5015901   0.7821368 ]"
Day 6_Y8-2-L.png,"[-1.4000883   0.624212    0.6295702  -0.78210944  1.3576711   0.35114393
  0.08778601  0.70519567 -0.9269421  -1.4932826   1.2024113  -0.20647852
 -0.16074386 -0.05724221  0.05950144  0.59137255]"
Day 12_A8-4-L.png,"[ 0.9885234  2.902737  -2.8968422  3.6982486  1.4468291  0.0993827
 -1.5257404 -1.363767  -2.5255873 -0.5801724  1.6766877  2.018305
 -3.0997124  0.2142984 -3.2529907 -0.7861007]"
Day 15_Y8-2-L.png,"[ 2.0737467   2.9538865  -3.7585537   4.4704256   0.8208509  -0.01237348
 -1.9223706  -2.1114435  -2.2452366   0.31785405  1.3086022   2.3861282
 -3.4608598   0.34566805 -3.6167512  -1.5961705 ]"
Day 1_A8-4-L.png,"[ 0.21448436  0.13577941 -0.11227362  0.6006423  -0.44711635 -0.23336881
 -0.00631987 -0.14287966  0.2821934   0.49665716 -0.3072724  -0.08967031
  0.08088236 -0.09467724 -0.04026524 -0.02352088]"
Day 6_A8-3-L.png,"[-0.09684373 -7.604526    4.213019   -9.645542   -2.2346258   0.53483814
  2.4354398   0.64993685  4.3150682   0.1513636  -2.9784944  -2.3292892
  4.9467163   0.24319082  7.3260818   1.2071555 ]"
